Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
732	0.363388	140	0.264286	128	0.718750	2.102489	732	0.363388	0.395000	0.353999	
687	0.330422	147	0.306122	166	0.572289	2.102489	687	0.330422	0.367000	0.354044	
712	0.308989	147	0.258503	141	0.673759	2.102489	712	0.308989	0.353000	0.354040	
724	0.309392	137	0.284672	139	0.719424	2.102489	724	0.309392	0.363000	0.354071	
712	0.301966	147	0.299320	141	0.680851	2.102489	712	0.301966	0.355000	0.354074	
680	0.300000	161	0.279503	159	0.578616	2.102489	680	0.300000	0.341000	0.354030	
698	0.332378	135	0.266667	167	0.652695	2.102489	698	0.332378	0.377000	0.354108	
714	0.294118	140	0.328571	146	0.458904	2.102489	714	0.294118	0.323000	0.354002	
717	0.364017	141	0.283688	142	0.640845	2.102489	717	0.364017	0.392000	0.354131	
764	0.297120	101	0.277228	135	0.681481	2.102489	764	0.297120	0.347000	0.354107	
725	0.320000	151	0.251656	124	0.741935	2.102489	725	0.320000	0.362000	0.354133	
720	0.312500	142	0.330986	138	0.695652	2.102489	720	0.312500	0.368000	0.354180	
699	0.301860	149	0.234899	152	0.559211	2.102489	699	0.301860	0.331000	0.354102	
688	0.311047	157	0.343949	155	0.722581	2.102489	688	0.311047	0.380000	0.354189	
749	0.312417	135	0.340741	116	0.637931	2.102489	749	0.312417	0.354000	0.354188	
713	0.288920	139	0.244604	148	0.675676	2.102489	713	0.288920	0.340000	0.354141	
694	0.308357	138	0.289855	168	0.696429	2.102489	694	0.308357	0.371000	0.354197	
706	0.314448	138	0.333333	156	0.621795	2.102489	706	0.314448	0.365000	0.354232	
708	0.293785	148	0.195946	144	0.680556	2.102489	708	0.293785	0.335000	0.354169	
713	0.308555	145	0.282759	142	0.612676	2.102489	713	0.308555	0.348000	0.354149	
711	0.319269	134	0.313433	155	0.677419	2.102489	711	0.319269	0.374000	0.354214	
739	0.301759	137	0.211679	124	0.604839	2.102489	739	0.301759	0.327000	0.354125	
735	0.310204	129	0.147287	136	0.595588	2.102489	735	0.310204	0.328000	0.354041	
710	0.330986	146	0.219178	144	0.645833	2.102489	710	0.330986	0.360000	0.354060	
